Feature,Importance
1205.4,2694.497195354019
1199.2,2194.861791558632
1589.5,2188.333463229728
1601.9,1734.9031353925536
1632.8,1261.1790425477898
1583.3,1087.1713385131425
1626.6,1080.611230793445
1211.6,994.4101450845429
1608.1,900.85183691946
1620.5,657.2465131075054
1639,574.7574481460395
1193,506.1479960186749
945.3,426.4999452110334
1614.3,214.95075430066612
939.1,189.2731600130811
1577.1,178.15478366029436
957.7,172.88083828352237
951.5,163.3946737874818
970,127.86506042692298
1570.9,109.67504007124825
1595.7,53.404709289922685
963.8,46.97221004835209
976.2,11.885393705450632
